Site,Dist,Site Name,Start,End,Latitude,Longitude,Source,State,Height,Bar Height,WMO
9054,9,TAMBREY,1938,  ..,-30.6033,115.6428,GPS, WA,300,       ..,     ..
9055,9,DANDARAGAN,1897,1968,-30.6833,115.7,....., WA,         ..,       ..,     ..
9056,9,FLOREAT PARK,1962,2006,-31.9494,115.7928,GPS, WA,20,       ..,     ..
9057,9,HERNE HILL,1913,  ..,-31.8186,116.0378,GPS, WA,20,       ..,     ..
9058,9,KALAMUNDA,1908,1994,-31.9822,116.0594,....., WA,210,       ..,     ..
9059,9,WINDY RIDGE,1935,1950,-32,116,....., WA,         ..,       ..,     ..
9060,9,MAIDA VALE 2,1950,1959,-31.95,116,....., WA,         ..,       ..,     ..
9061,9,SWANBOURNE MILITARY POST OFFIC,1954,1974,-31.9667,115.75,....., WA,26,       ..,     ..
9062,9,GIDGEGANNUP 1,1948,1975,-31.7833,116.2167,....., WA,         ..,       ..,     ..
9063,9,BADGINGARRA,1956,2007,-30.3903,115.5039,GPS, WA,258,       ..,     ..
9064,9,KWINANA BP REFINERY,1955,2012,-32.2258,115.7611,GPS, WA,4,5,     ..
9065,9,CARABAN,1956,1973,-31.3383,115.5525,....., WA,90,       ..,     ..
9066,9,GIDGEGANNUP,1957,  ..,-31.7906,116.1976,GPS, WA,290,       ..,     ..
9067,9,UPPER SWAN RESEARCH STATION,1957,1998,-31.7564,116.0222,....., WA,15,       ..,     ..
9068,9,MELVILLE,1956,2001,-32.0447,115.8214,GPS, WA,44,       ..,     ..
9069,9,YEAL SWAMP EAST,1956,1980,-31.4558,115.8767,....., WA,90,       ..,     ..
9070,9,SPEARWOOD,1958,1990,-32.1517,115.8008,....., WA,15,       ..,     ..
9071,9,CLONTARF BOYS TOWN,1958,1964,-32.0167,115.8667,....., WA,         ..,       ..,     ..
9072,9,BUNDIDUP,1958,2002,-30.2842,115.5242,GPS, WA,200,       ..,     ..
9073,9,SERPENTINE PIPE HEAD,1959,1992,-32.3733,116.0581,....., WA,200,       ..,     ..
9074,9,KALBYAMBA,1900,1907,-32.0167,115.9333,....., WA,5,       ..,     ..
9075,9,BALAMARRA,1920,1929,-30.4,115.65,....., WA,         ..,       ..,     ..
9076,9,BINDOON SOUTH,1932,1938,-31.4,116.1,....., WA,         ..,       ..,     ..
9077,9,CANNING TIMBER MILLS,1896,1900,-32.0667,116.1,....., WA,         ..,       ..,     ..
9078,9,CATABY,1929,1939,-30.7,115.6,....., WA,         ..,       ..,     ..
9079,9,CLAREMONT,1888,1928,-31.9833,115.8,....., WA,         ..,       ..,     ..
9080,9,CORNERS BROOK,1921,1939,-32.2,116.1,....., WA,         ..,       ..,     ..
9081,9,DALE ROAD,1923,1935,-32.2,116.3,....., WA,         ..,       ..,     ..
9082,9,ARMADALE TRAVELLERS ARMS HOTEL,1923,1926,-32.3,116.15,....., WA,         ..,       ..,     ..
9083,9,FREMANTLE OVAL,1908,1927,-32.05,115.75,Unknown, WA,         ..,       ..,     ..
9084,9,FREMANTLE NORTH,1913,1919,-32.05,115.75,....., WA,         ..,       ..,     ..
9085,9,GINGIN BROOK,1920,1925,-31.3,115.6,....., WA,         ..,       ..,     ..
9086,9,HENDERSON NAVAL BASE,1915,1922,-32.1,115.75,....., WA,         ..,       ..,     ..
9087,9,PERTH HIGHGATE HILL,1905,1923,-31.95,115.9,....., WA,         ..,       ..,     ..
9088,9,HILL RIVER,1907,1919,-30.3,115.4,....., WA,         ..,       ..,     ..
9089,9,JARRAHDALE MILL,1910,1916,-32.4,116.0167,....., WA,         ..,       ..,     ..
9090,9,KANGAROO GULLY,1908,1932,-32.1,116.1,....., WA,         ..,       ..,     ..
9091,9,INNER DOLPHIN PYLON,1999,  ..,-31.9889,115.8311,GPS, WA,0,       ..,95620
9092,9,MANDOGALUP,1923,1936,-32.2,115.8,....., WA,         ..,       ..,     ..
9093,9,MAYFIELD,1910,1916,-31.2,115.7,....., WA,         ..,       ..,     ..
9094,9,MAYLANDS AIRPORT,1929,1944,-31.95,115.9,....., WA,5,       ..,     ..
9095,9,BAYSWATER,1921,1933,-31.9,115.9,....., WA,         ..,       ..,     ..
9096,9,MOUNT VICTORIA,1890,1938,-32.0333,116.05,....., WA,         ..,       ..,     ..
9097,9,PERTH GARDENS,1876,1930,-31.95,115.85,....., WA,         ..,       ..,     ..
9098,9,PERTH NORTH,1907,1934,-31.9333,115.8333,....., WA,         ..,       ..,     ..
9099,9,PERTH SOUTH,1904,1918,-31.9667,115.85,....., WA,9,       ..,     ..
9100,9,PERTH STIRLING STREET,1885,1892,-31.95,115.8667,....., WA,12,       ..,     ..
9101,9,RANGERS VALLEY,1921,1930,-31.2,116.1,....., WA,         ..,       ..,     ..
9102,9,SUBIACO,1898,1938,-31.9,115.8,....., WA,         ..,       ..,     ..
9103,9,SUNNY DELL,1918,1935,-31.9333,116.2,....., WA,         ..,       ..,     ..
9104,9,WANDU,1904,1918,-31.9,116.1,....., WA,         ..,       ..,     ..
9105,9,WANNEROO,1905,  ..,-31.7317,115.7931,GPS, WA,30,       ..,     ..
9106,9,GOSNELLS CITY,1961,  ..,-32.0481,115.9844,GPS, WA,10,       ..,95604
9107,9,MOUNT LAWLEY GOLF CLUB,1963,1969,-31.9167,115.8667,....., WA,         ..,       ..,     ..
9108,9,SMITHS MILL,1888,1892,-31.9,116.2,....., WA,         ..,       ..,     ..
9109,9,STONEVILLE RESEARCH STN,1965,2001,-31.8531,116.1783,GPS, WA,300,       ..,     ..
9110,9,KEVALA,1964,1993,-30.0233,115.2375,....., WA,61,       ..,     ..
9111,9,KARNET,1963,  ..,-32.4389,116.0789,....., WA,286,       ..,95614
9112,9,BINDOON,1952,  ..,-31.3928,116.0875,GPS, WA,160,       ..,     ..
9113,9,ROLEYSTONE,1964,  ..,-32.1133,116.0819,GPS, WA,250,       ..,     ..
9114,9,LANCELIN,1965,  ..,-31.016,115.3322,GPS, WA,1.5,2.5,95606
9115,9,SERPENTINE MAIN DAM,1963,  ..,-32.4022,116.1039,GPS, WA,220,       ..,     ..
9116,9,MUNBINEA,1966,1980,-30.26,115.1947,....., WA,120,       ..,     ..
9117,9,WEXHAM,1964,1975,-31.9667,116,....., WA,         ..,       ..,     ..
9118,9,LEDGE POINT,1956,1980,-31.15,115.4833,....., WA,69,       ..,     ..
9119,9,GNANGARA,1950,1990,-31.7758,115.9433,....., WA,50,       ..,     ..
9120,9,WANNEROO CALM,1958,2001,-31.7514,115.8014,GPS, WA,50,       ..,     ..
9121,9,MOORE RIVER FORESTRY 6,1965,1980,-31.2358,115.5381,....., WA,40,       ..,     ..
9122,9,YANCHEP NORTH FORESTRY,1956,1980,-31.4,115.7,....., WA,61,       ..,     ..
9123,9,GINGIN FORESTRY 2,1956,1980,-31.3786,115.7861,....., WA,61,       ..,     ..
9124,9,GINGIN FORESTRY 3,1956,1980,-31.4531,115.8058,....., WA,61,       ..,     ..
9125,9,YANCHEP EAST FORESTRY 4,1956,1980,-31.5772,115.8164,....., WA,61,       ..,     ..
9126,9,WEST PERTH,1967,2010,-31.9508,115.8453,....., WA,53.2,54,     ..
9127,9,MOSMAN PARK,1968,  ..,-32.02,115.7692,GPS, WA,21,       ..,     ..
9128,9,YANCHEP NORTH FORESTRY 7,1967,1979,-31.4,115.6333,....., WA,60,       ..,     ..
9129,9,SCARBOROUGH BEACH POST OFFICE,1964,1986,-31.8931,115.7617,....., WA,11,       ..,     ..
9130,9,TUYALI,1968,  ..,-30.6408,115.5003,GPS, WA,140,       ..,     ..
9131,9,JURIEN BAY,1968,  ..,-30.3081,115.0311,GPS, WA,1.6,4.7,95600
9132,9,GLENEAGLE PLUVIO,1962,1974,-32.2833,116.1833,....., WA,         ..,       ..,     ..
9133,9,LAKE LESCHENAULTIA,1969,  ..,-31.8511,116.2539,GPS, WA,260,       ..,     ..
9134,9,LOWER CHITTERING 2,1968,1980,-31.5667,116.0958,....., WA,91,       ..,     ..
9135,9,WALLISTON,1965,1995,-31.9942,116.0692,....., WA,317,       ..,     ..
9136,9,CANNING PARK,1916,1924,-32.0167,116,....., WA,         ..,       ..,     ..
9137,9,CARDUP,1970,  ..,-32.2475,116.0172,GPS, WA,50,       ..,     ..
9138,9,BYFORD BRICKWORKS,1938,1940,-32.2167,116,....., WA,         ..,       ..,     ..
9139,9,ALBANY HIGHWAY 47.5,1927,1937,-32.45,116.3,....., WA,         ..,       ..,     ..
9140,9,KELMSCOTT FORESTRY,1967,1978,-32.1333,116.0167,....., WA,         ..,       ..,     ..
9141,9,MARDELLA,1936,1940,-32.2667,115.95,....., WA,         ..,       ..,     ..
9142,9,EAGLE HILL,1923,1927,-32.2833,116.2167,....., WA,         ..,       ..,     ..
9143,9,PARKERVILLE,1919,1925,-31.8667,116.1333,....., WA,         ..,       ..,     ..
9144,9,BARAMBA,1970,  ..,-31.0769,115.5083,GPS, WA,60,       ..,     ..
9145,9,BROWNS LAKE,1929,1935,-32.1667,115.8,....., WA,         ..,       ..,     ..
9146,9,WAIKIKI,1970,1979,-32.31,115.7292,....., WA,6,       ..,     ..
9147,9,MOOLIABEENEE,1970,  ..,-31.3292,116.0811,GPS, WA,170,       ..,     ..
9148,9,WESTFIELD,1968,1987,-32.1517,115.9542,....., WA,60,       ..,     ..
9149,9,SAFETY BAY,1999,2005,-32.3,115.7147,GPS, WA,6,       ..,     ..
9150,9,WOODMANS POINT,1967,1996,-32.1367,115.7667,....., WA,6,       ..,     ..
9151,9,SUBIACO TREATMENT PLANT,1967,  ..,-31.9556,115.7928,GPS, WA,20,       ..,     ..
9152,9,MAHOMET SPRINGS,1964,  ..,-30.5003,115.7119,GPS, WA,270,       ..,     ..
9153,9,LESLEY,1931,1935,-32.15,116.1667,....., WA,         ..,       ..,     ..
9154,9,NEWNESMORR,1933,1936,-32.05,116.1167,....., WA,         ..,       ..,     ..
9155,9,WUNGONG BROOK NO.5,1921,1924,-32.2667,116.1333,....., WA,         ..,       ..,     ..
9156,9,TUART HILL,1931,1933,-31.9,115.8333,....., WA,         ..,       ..,     ..
9157,9,MORAY,1929,1934,-30.9667,115.8,....., WA,         ..,       ..,     ..
9158,9,LINSLADE,1920,1924,-31.75,116.0333,....., WA,         ..,       ..,     ..
9159,9,PERTH WEST,1971,1973,-31.95,115.85,....., WA,54,       ..,     ..
9160,9,POINT PERON,1971,1974,-32.2667,115.7,....., WA,3,       ..,     ..
9161,9,BENTLEY (CURTIN),1971,1988,-32.0022,115.8861,....., WA,18,19,     ..
9162,9,UPPER CHITTERING,1971,1989,-31.4556,116.0978,....., WA,140,       ..,     ..
9163,9,WEST SWAN,1917,2004,-31.8511,115.9942,GPS, WA,9,       ..,     ..
9164,9,LONG POINT,1936,1962,-32.3667,115.7167,....., WA,         ..,       ..,     ..
9165,9,BERAKIN FOREST,1931,1936,-31.9,116.4,....., WA,         ..,       ..,     ..
9166,9,WHITBY FALLS,1930,2001,-32.2931,116.0136,GPS, WA,40,       ..,     ..
9167,9,MOGUMBER FARM,1918,1999,-31.0053,115.9369,GPS, WA,160,       ..,     ..
9168,9,KARRAGULLEN,1972,  ..,-32.1189,116.1203,GPS, WA,300,       ..,     ..
9169,9,CERVANTES,1972,  ..,-30.5006,115.0664,GPS, WA,3,       ..,     ..
9170,9,JANDAKOT UNIVERSITY STN,1972,1996,-32.1644,115.8306,....., WA,20,       ..,     ..
9171,9,BROWNS LAKE,1929,1935,-32.1667,115.8333,....., WA,         ..,       ..,     ..
9172,9,JANDAKOT AERO,1972,  ..,-32.1011,115.8794,GPS, WA,30,30.7,94609
9173,9,STONEVILLE,1973,1994,-31.8758,116.1764,....., WA,300,       ..,     ..
9174,9,KALLAROO,1973,1974,-31.7833,115.7333,....., WA,         ..,       ..,     ..
9175,9,SUMMER VALLEY,1973,1985,-30.8872,116.0294,....., WA,180,       ..,     ..
9176,9,STRATHBOGIE,1973,1974,-30.5333,115.3333,....., WA,         ..,       ..,     ..
9177,9,SAN ANGELO,1973,  ..,-31.1216,115.4458,GPS, WA,60,       ..,     ..
9178,9,GINGIN AERO,1968,  ..,-31.4628,115.8642,GPS, WA,73,74.5,95612
9179,9,ENEMINGA,1973,  ..,-30.7994,115.5467,GPS, WA,100,       ..,     ..
9180,9,CARMEL,1973,2008,-32.0186,116.0997,GPS, WA,250,       ..,     ..
9181,9,SWAN VIEW,1973,2014,-31.8817,116.0592,GPS, WA,80,       ..,     ..
9182,9,MAIDA VALE,1975,  ..,-31.9672,116.0231,GPS, WA,100,       ..,     ..
9183,9,TWO ROCKS,1975,2013,-31.4978,115.5914,GPS, WA,20,       ..,     ..
9184,9,CRAIGIE,1976,1988,-31.775,115.77,....., WA,10,       ..,     ..
9185,9,ST.MARYS PASTORAL,1967,1969,-31.85,115.9,....., WA,         ..,       ..,     ..
9186,9,BEENYUP,1979,2009,-31.7858,115.7772,GPS, WA,17,       ..,     ..
9187,9,MURDOCH,2001,  ..,-32.0758,115.8469,GPS, WA,30,       ..,     ..
9188,9,WOODSOME,1929,1955,-31.75,116,....., WA,         ..,       ..,     ..
9189,9,COTTESLOE BEACH,1916,1926,-31.9833,115.75,Unknown, WA,         ..,       ..,     ..
9190,9,KELMSCOTT,1907,1985,-32.13,116.005,....., WA,30,       ..,     ..
9191,9,CITY BEACH,1983,1998,-31.9286,115.7653,....., WA,30,       ..,     ..
9192,9,FREMANTLE,1983,  ..,-32.0533,115.7647,GPS, WA,15,       ..,     ..
9193,9,ROTTNEST ISLAND,1983,  ..,-32.0069,115.5022,GPS, WA,43.1,43.1,94602
9194,9,MEDINA RESEARCH CENTRE,1983,  ..,-32.2208,115.8075,GPS, WA,14,       ..,95608
9195,9,MALMALLING,1914,1948,-31.95,116.3,....., WA,         ..,       ..,     ..
9196,9,INNAMINCKA,1912,1956,-31.5667,116.1,....., WA,         ..,       ..,     ..
9197,9,GARDEN ISLAND,1983,1999,-32.23,115.6844,....., WA,5,       ..,     ..
9198,9,KELMSCOTT 2,1982,1997,-32.1261,116.0358,....., WA,70,       ..,     ..
9199,9,LEEMAN,1983,  ..,-29.9486,114.9781,GPS, WA,2,       ..,     ..
9200,9,MUCHEA WILDFLOWER PARK,1984,1998,-31.5286,116,....., WA,160,       ..,     ..
9201,9,WABLING,1986,1989,-31.3908,115.6811,....., WA,50,       ..,     ..
9202,9,MOUNT HELENA,1986,  ..,-31.8344,116.2197,GPS, WA,300,       ..,     ..
9203,9,TUDOR PARK,1988,1996,-31.8986,116.3236,....., WA,280,       ..,     ..
9204,9,GOOSEBERRY HILL,1989,  ..,-31.9414,116.0506,GPS, WA,220,       ..,94615
9205,9,MUNYERRING SPRINGS,1975,1994,-31.4317,116.2642,....., WA,290,       ..,     ..
9206,9,PICKERING BROOK,1974,  ..,-32.0381,116.1264,GPS, WA,280,       ..,     ..
9207,9,PICKERING BROOK NORTH,1974,  ..,-32.0208,116.1167,GPS, WA,220,       ..,     ..
9208,9,TRANGIE,1970,1988,-32.4489,116.0242,....., WA,         ..,       ..,     ..
9209,9,SPRINGDALE,1970,2013,-32.4331,116.0289,GPS, WA,280,       ..,     ..
9210,9,LAKE NAMMEN,1971,  ..,-30.8928,115.5789,GPS, WA,70,       ..,     ..
9211,9,PINDARITA,1971,  ..,-30.2892,115.3203,GPS, WA,150,       ..,     ..
9212,9,SAWYERS VALLEY,1972,1996,-31.9031,116.2008,....., WA,300,       ..,     ..
9213,9,WONYIL,1972,1999,-31.9278,116.1861,....., WA,250,       ..,     ..
9214,9,OCEAN REEF,1985,  ..,-31.7594,115.7278,GPS, WA,10,       ..,94607
9215,9,SWANBOURNE,1985,  ..,-31.9558,115.7619,GPS, WA,41,       ..,94614
9216,9,VICTORIA DAM,1968,  ..,-32.0394,116.0656,GPS, WA,160,       ..,     ..
9217,9,KINGSLEY,1990,1995,-31.8097,115.8183,....., WA,50,       ..,     ..
9218,9,GILLINGARRA,1991,1998,-30.9311,116.0417,MAP 1:250 000, WA,180,       ..,     ..
9219,9,LUPIN VALLEY,1980,  ..,-30.6919,115.8119,GPS, WA,210,       ..,     ..
9220,9,CABRAE,1991,2000,-31.4956,116.0547,GPS, WA,220,       ..,     ..
9221,9,CHITTERING HEIGHTS,1991,2012,-31.4367,116.0642,GPS, WA,210,       ..,     ..
9222,9,GLENROYD,1991,2005,-31.7422,116.2144,GPS, WA,200,       ..,     ..
9223,9,SORRENTO,1993,  ..,-31.8367,115.7692,GPS, WA,20,       ..,     ..
9224,9,FREMANTLE PORT,1952,  ..,-32.0544,115.7414,GPS, WA,60,       ..,94618
9225,9,PERTH METRO,1993,  ..,-31.9192,115.8728,GPS, WA,24.9,25.4,94608
9226,9,GOORALONG ORCHARD,1972,1993,-32.2667,116.0833,....., WA,         ..,       ..,     ..
9227,9,PARKVILLE,1972,1993,-31.8833,116.15,....., WA,         ..,       ..,     ..
9228,9,LENNARDS BROOK,1972,1987,-31.3778,116.0481,....., WA,         ..,       ..,     ..
9229,9,HAMPTON DOWNS,1972,1987,-31.3556,115.97,....., WA,         ..,       ..,     ..
9230,9,MOUNT HELENA 2,1972,1993,-31.85,116.1833,....., WA,         ..,       ..,     ..
9231,9,WAKEDALE,1972,1993,-31.1833,115.85,....., WA,         ..,       ..,     ..
9232,9,KURRIE,1972,1993,-31.1833,115.8,....., WA,         ..,       ..,     ..
9233,9,PIESSE GULLY,1974,1993,-32,116.0833,....., WA,         ..,       ..,     ..
9234,9,CANTERBURY,1975,1987,-31,116.2067,Unknown, WA,         ..,       ..,     ..
9235,9,MUCHEA,1975,1993,-31.5167,116.0333,....., WA,         ..,       ..,     ..
9236,9,BAILUP STUD,1975,1987,-31.7222,116.2747,....., WA,         ..,       ..,     ..
9237,9,CULLACABARDEE,1993,1995,-31.8153,115.8875,....., WA,         ..,       ..,     ..
9238,9,GUILDERTON,1993,1994,-31.3489,115.5028,....., WA,30,       ..,     ..
9239,9,BEDFORDALE,1993,2014,-32.1753,116.0542,GPS, WA,240,       ..,     ..
9240,9,BICKLEY,1969,  ..,-32.0072,116.1369,GPS, WA,384,385,95610
9241,9,ROLEYSTONE WEST,1993,2012,-32.1308,116.0614,GPS, WA,105,       ..,     ..
9242,9,CLOON,1994,  ..,-32.3956,115.9744,GPS, WA,48,       ..,     ..
9243,9,WOODRIDGE ESTATE,1994,  ..,-31.335,115.5722,GPS, WA,30,       ..,     ..
9244,9,HERNE HILL,1995,2012,-31.8219,116.0367,GPS, WA,40,       ..,     ..
9245,9,JARRAHDALE MINESITE,1972,2000,-32.2917,116.1022,....., WA,320,       ..,     ..
9246,8,LEYTON,1993,  ..,-30.9442,116.4989,GPS, WA,290,       ..,     ..
9247,9,FREMANTLE FPA BUILDING,1986,1987,-32.0333,115.7333,....., WA,         ..,       ..,     ..
9248,9,MOONDAH BROOK,1997,  ..,-31.332,115.9513,GPS, WA,113,       ..,     ..
9249,9,MARIGINIUP,1997,  ..,-31.6992,115.8628,GPS, WA,60,       ..,     ..
9250,9,PERTH AIRPORT COMPARISON,1997,2001,-31.9356,115.9639,MAP 1:100 000, WA,20,       ..,     ..
9251,9,COONAWARRA DOWNS,1997,2007,-30.1283,115.5011,GPS, WA,260,       ..,     ..
9252,9,NOBLE FALLS,2000,  ..,-31.7683,116.2475,GPS, WA,190,       ..,     ..
9253,9,HOPELANDS,2000,  ..,-32.3914,115.8489,GPS, WA,7,       ..,     ..
9254,9,ARMAMENT JETTY,2001,  ..,-32.1758,115.6808,GPS, WA,9,       ..,     ..
9255,9,COLPOYS POINT,2001,  ..,-32.2272,115.6994,GPS, WA,3,       ..,     ..
9256,9,GARDEN ISLAND HSF,2001,  ..,-32.2433,115.6839,GPS, WA,6,6.5,95607
9257,9,FORRESTDALE,1985,  ..,-32.15,115.9486,GPS, WA,20,       ..,     ..
9258,9,ANKETELL,2002,  ..,-32.2156,115.8758,GPS, WA,18,       ..,     ..
9259,9,COORANG,2003,2004,-31.0811,115.8569,GPS, WA,150,       ..,     ..
9260,9,MOUNT SOLUS,2004,  ..,-32.4697,116.2143,GPS, WA,574,       ..,     ..
9261,9,NORTH BADGINGARRA (TOOMBULLUP),2004,2011,-30.2875,115.4656,GPS, WA,200,       ..,     ..
9262,9,GNANGARA PARK,2004,2004,-31.6439,115.8281,GPS, WA,50,       ..,     ..
9263,9,WHITEMAN PARK,2004,  ..,-31.8372,115.95,GPS, WA,25,       ..,     ..
9264,9,TAMALA PARK (MINDARIE),2004,  ..,-31.7078,115.7244,GPS, WA,20,       ..,     ..
9265,9,HILLARYS BOAT HARBOUR NTC AWS,1991,  ..,-31.8256,115.7386,MAP 1:250 000, WA,0,1.3,95605
9266,9,MOGUMBER WEST,2003,2012,-31.0697,115.9581,MAP 1:250 000, WA,205,       ..,     ..
9267,9,GIDGEGANNUP NORTH,2007,  ..,-31.7008,116.1847,GPS, WA,290,       ..,     ..
9268,9,JULIMAR FOREST,2007,  ..,-31.4566,116.3701,GPS, WA,342,       ..,     ..
9269,9,BINDOON ARMY GATE,2011,  ..,-31.3397,116.26,GPS, WA,267,       ..,     ..
9270,9,MOOLIABEENEE TBRG,2011,  ..,-31.3297,116.0813,GPS, WA,175,       ..,     ..
9271,9,BUNGENDORE,2011,  ..,-32.1886,116.0564,GPS, WA,200,       ..,     ..
9272,,PERTH RADAR,2010,  ..,-32.3917,115.867,GPS, WA,15,       ..,99095
9273,09A,AUSTRALIND,2010,  ..,-33.2722,115.7167,....., WA,12,       ..,     ..
9274,9,MINSTON PARK,2010,  ..,-31.2614,116.126,GPS, WA,298,       ..,     ..
9275,9,MUCHEA,2011,  ..,-31.5869,115.9694,GPS, WA,60,       ..,     ..
9276,9,NAMBUNG STATION,2004,  ..,-30.5744,115.2231,GPS, WA,42,       ..,     ..
9277,9,LAKE CHITTERING,2011,  ..,-31.4319,116.0856,GPS, WA,130,       ..,     ..
9278,09A,YOONGARILLUP TBRG,2011,  ..,-33.7394,115.47,GPS, WA,54,       ..,     ..
9279,9,CANTERBURY,2012,  ..,-31.0008,116.2314,GPS, WA,304,       ..,     ..
9281,9,MILLENDON (SWAN VALLEY),2017,  ..,-31.8108,116.0225,GPS, WA,16,       ..,94795
9500,09A,ALBANY,1877,  ..,-35.0289,117.8808,GPS, WA,3,       ..,94801
9501,09A,ARUNDEL,1912,  ..,-34.4769,117.4811,GPS, WA,260,       ..,     ..
9502,09A,BOWELLING,1919,1987,-33.4167,116.4767,....., WA,247,       ..,     ..
9503,09A,BOYANUP,1897,2014,-33.4825,115.7286,GPS, WA,37,       ..,     ..
9504,09A,BOYUP BROOK,1913,  ..,-33.8325,116.3894,GPS, WA,200,       ..,     ..
9505,09A,BALINGUP,1924,  ..,-33.7864,115.9817,GPS, WA,120,       ..,     ..
9506,09A,BANGALUP,1920,  ..,-34.4678,116.9169,GPS, WA,180,       ..,     ..
9507,09A,BANNISTER,1885,  ..,-32.6836,116.5194,GPS, WA,350,       ..,     ..
9508,09A,BIDDELIA,1900,1971,-34.25,115.75,....., WA,         ..,       ..,     ..
9509,09A,BODDINGTON SHIRE,1915,  ..,-32.8094,116.4581,GPS, WA,213,       ..,     ..
9510,09A,BRIDGETOWN COMPARISON,1887,  ..,-33.9575,116.1375,GPS, WA,149.9,150.7,     ..
9511,09A,ELSFIELD,1910,1954,-32.7,115.95,....., WA,         ..,       ..,     ..
9512,09A,SPRINGFIELDS,1912,2006,-34.4011,115.9353,GPS, WA,180,       ..,     ..
9513,09A,BRUNSWICK JUNCTION,1909,  ..,-33.2136,115.85,GPS, WA,30,       ..,     ..
9514,09A,BUNBURY POST OFFICE,1877,1985,-33.3267,115.63,....., WA,4,5,     ..
9515,09A,BUSSELTON SHIRE,1877,  ..,-33.6611,115.3456,GPS, WA,4,       ..,     ..
9516,09A,CAPEL,1914,2003,-33.5506,115.5717,GPS, WA,20,       ..,     ..
9517,09A,CASTLEDENE,1919,1981,-33.7175,115.85,....., WA,200,       ..,     ..
9518,09A,CAPE LEEUWIN,1897,  ..,-34.3728,115.1358,GPS, WA,13,14,94601
9519,09A,CAPE NATURALISTE,1903,  ..,-33.5372,115.0189,GPS, WA,109,109.5,94600
9520,09A,CAPE RICHE,1897,  ..,-34.6086,118.7511,GPS, WA,40,       ..,     ..
9521,09A,CARMENDALE,1921,1990,-34.735,117.7217,....., WA,200,       ..,     ..
9522,09A,YALLINGUP,1905,1968,-33.6333,115,....., WA,         ..,       ..,     ..
9523,09A,ILLALANGI,1912,  ..,-34.9728,117.2669,GPS, WA,200,       ..,     ..
9524,09A,CORDINUP,1950,1988,-34.67,118.5317,....., WA,250,       ..,     ..
9525,09A,CULICUP ESTATE,1926,2002,-33.8742,116.6544,GPS, WA,240,       ..,     ..
9526,09A,NORTH DANDALUP,1921,1955,-32.5167,115.9667,....., WA,         ..,       ..,     ..
9527,09A,DARDANUP EAST,1935,  ..,-33.3969,115.7833,GPS, WA,40,       ..,     ..
9528,09A,DARRADUP,1919,1974,-34.0833,115.5833,....., WA,         ..,       ..,     ..
9529,09A,DEEP RIVER,1941,1975,-35,116.65,....., WA,         ..,       ..,     ..
9530,09A,DEESIDE,1900,  ..,-34.3771,116.4145,GPS, WA,140,       ..,     ..
9531,09A,DENMARK,1897,  ..,-34.9617,117.3567,GPS, WA,20,       ..,     ..
9532,09A,DENMARK AGRIC. SCHOOL,1947,  ..,-34.9528,117.3733,GPS, WA,25,       ..,     ..
9533,09A,DINNINUP,1905,1987,-33.8394,116.56,....., WA,203,       ..,     ..
9534,09A,DONNYBROOK,1900,  ..,-33.5719,115.8247,GPS, WA,63,       ..,95622
9535,09A,CORONET HILL,1996,  ..,-33.8267,122.4922,GPS, WA,110,       ..,     ..
9536,09A,DORSET DOWNS,1917,1954,-34.2,116.9833,....., WA,         ..,       ..,     ..
9537,09A,QUINDALUP,1927,1977,-33.6,115.1,....., WA,4,       ..,     ..
9538,09A,DWELLINGUP,1934,  ..,-32.7103,116.0594,GPS, WA,267,268,94620
9539,09A,BREAKSEA ISLAND,1890,1926,-35.0667,118.05,....., WA,119,       ..,     ..
9540,09A,MARGARET RIVER 1,1899,1948,-33.9833,115.0167,....., WA,         ..,       ..,     ..
9541,09A,ESPERANCE POST OFFICE,1883,1969,-33.85,121.8833,....., WA,4,4.3,     ..
9542,09A,ESPERANCE AERO,1950,  ..,-33.6825,121.8275,GPS, WA,142,142.5,95638
9543,09A,FALNASH,1937,1974,-33.9333,116.3,....., WA,         ..,       ..,     ..
9544,09A,FANNY COVE,1899,1949,-33.8333,121.1667,....., WA,         ..,       ..,     ..
9545,09A,FERGUSON,1939,1999,-33.4356,115.8433,....., WA,120,       ..,     ..
9546,09A,FERNDALE,1902,1970,-33.8167,115.9333,....., WA,         ..,       ..,     ..
9547,09A,FOREST GROVE,1925,  ..,-34.0744,115.0808,GPS, WA,60,       ..,     ..
9548,09A,GLEN IVOR,1951,1968,-33.6167,116,....., WA,         ..,       ..,     ..
9549,09A,GLENORAN,1935,1951,-34.3,115.9833,....., WA,         ..,       ..,     ..
9550,09A,GLEN WARREN,1925,2003,-34.4189,116.2086,GPS, WA,100,       ..,     ..
9551,09A,GRASSMERE,1902,  ..,-35.0151,117.7577,GPS, WA,10,       ..,     ..
9552,09A,GREENBUSHES,1893,  ..,-33.8564,116.055,GPS, WA,310,       ..,     ..
9553,09A,HAMEL,1910,1991,-32.8683,115.9139,....., WA,37,       ..,     ..
9554,09A,HARVEY POST OFFICE,1897,1991,-33.08,115.8917,....., WA,37,       ..,     ..
9555,09A,HAYNESDALE,1950,1950,-34.2833,117.0833,....., WA,         ..,       ..,     ..
9556,09A,ALDERVALE,1903,  ..,-33.9781,116.3336,GPS, WA,200,       ..,     ..
9557,09A,HOPETOUN,1901,2010,-33.9497,120.1258,GPS, WA,15,       ..,     ..
